orden,longitud,latitud
1,-69.32248628073724,-38.59977734676126
2,-69.32237687272928,-38.59977833102796
3,-69.28911530280168,-38.6000727812996
4,-69.28634796207939,-38.52055843570397
5,-69.28624511572102,-38.51101396139855
6,-69.28624468980897,-38.51097559711264
7,-69.28539276440361,-38.43406155175865
8,-69.40131236792573,-38.43299717371673
9,-69.40141602150766,-38.43938753641437
10,-69.40189179777309,-38.46999759020181
11,-69.34507507884359,-38.47061211115651
12,-69.34583864317612,-38.51565028690607
13,-69.40259823047683,-38.51504208038741
14,-69.40261525982392,-38.51612700957386
15,-69.40241882769915,-38.51625472101523
16,-69.40199514927019,-38.51698429220445
17,-69.40142919806286,-38.51777035870466
18,-69.4012262113566,-38.51973136615947
19,-69.4006614701739,-38.5207414599837
20,-69.40052664523544,-38.52214214485131
21,-69.40074456398287,-38.52286951371018
22,-69.40142901484109,-38.52415537431234
23,-69.40164757036719,-38.52499475713718
24,-69.40173474622846,-38.52785091014017
25,-69.40181975177003,-38.53031500701431
26,-69.4013984778055,-38.53149263547748
27,-69.40161362985661,-38.53171593368486
28,-69.40224911950128,-38.53059357689177
29,-69.40260407053314,-38.53031231287937
30,-69.40261093703539,-38.53154448177737
31,-69.40290052087178,-38.53232760790242
32,-69.40300205229801,-38.53253228484135
33,-69.40326110068717,-38.53305448153009
34,-69.40376242230384,-38.53344481579136
35,-69.40433411414814,-38.53366687798719
36,-69.40561948811694,-38.53399848423762
37,-69.4064066800682,-38.53449983342238
38,-69.40698248931864,-38.53544998196349
39,-69.40763246624087,-38.53690394970175
40,-69.40763942014097,-38.53813611644224
41,-69.40711280931077,-38.53959417683069
42,-69.40654642262957,-38.54032425699473
43,-69.40436336975434,-38.54142598212032
44,-69.40419972822919,-38.54150856514752
45,-69.40363173196802,-38.54195859398188
46,-69.40292203859983,-38.5425771335162
47,-69.40256765683651,-38.54297041382898
48,-69.40178444706154,-38.5431971397087
49,-69.40121673478266,-38.54370316465582
50,-69.40086326864018,-38.54426446144095
51,-69.39958579084815,-38.54538900123151
52,-69.39858766934262,-38.54544841330799
53,-69.39744937863136,-38.54595636099734
54,-69.39710419233477,-38.54802985259435
55,-69.39732431228784,-38.54914927888186
56,-69.39725792256543,-38.55004564178778
57,-69.39726162076013,-38.55071773326024
58,-69.39761853806239,-38.55077252951378
59,-69.3977682784882,-38.55206021893009
60,-69.39777784536862,-38.5537964536178
61,-69.39785565167354,-38.55497236908925
62,-69.39804107172053,-38.5562599359469
63,-69.39782655313314,-38.55707758367816
64,-69.39733797251034,-38.5581106069848
65,-69.39648694813251,-38.55900962953275
66,-69.39556242156654,-38.55951683396079
67,-69.39428061506871,-38.55991321838873
68,-69.39285216690232,-38.55958196834116
69,-69.39227817536897,-38.55896779970502
70,-69.39162756598189,-38.55878711768649
71,-69.39149293787661,-38.55885841264755
72,-69.39085005939087,-38.55869253455654
73,-69.3898514413704,-38.55869586439395
74,-69.3887110727828,-38.55886768272637
75,-69.38736181680298,-38.55999232461576
76,-69.38587015351575,-38.56117343084739
77,-69.38508460363538,-38.56100799226525
78,-69.38472794341307,-38.56100916496275
79,-69.38423189870635,-38.56162688661698
80,-69.3836674919974,-38.56280491742351
81,-69.38296069147113,-38.56403941813649
82,-69.38253624494124,-38.56471291040857
83,-69.38189748421044,-38.56533108905428
84,-69.38125930442231,-38.56606127966437
85,-69.38076556001953,-38.56712704731046
86,-69.38005660395221,-38.56796947874476
87,-69.37984700930154,-38.56881028644446
88,-69.37942456775036,-38.56987581751015
89,-69.37864334657463,-38.57055044923085
90,-69.37778783427288,-38.57066522987009
91,-69.37693290445588,-38.57089201969062
92,-69.37600604649384,-38.57100701703389
93,-69.37500900313425,-38.57134626742603
94,-69.37429616194426,-38.57146056539362
95,-69.37351284330255,-38.57174311078447
96,-69.37287423488696,-38.57241724696713
97,-69.37234262646396,-38.57309104109666
98,-69.37220253978604,-38.57359556255008
99,-69.3715624580523,-38.57398965475335
100,-69.37113813515219,-38.57471911038897
101,-69.37099832389274,-38.57527963892974
102,-69.37043100455716,-38.57595353640048
103,-69.36979146652912,-38.57645963431688
104,-69.36936567725111,-38.57690904578757
105,-69.36908401168735,-38.57763804432226
106,-69.36830375377284,-38.57853663510674
107,-69.36986942109414,-38.57774758229478
108,-69.37065137783384,-38.57718502364111
109,-69.36937944530976,-38.57959740581691
110,-69.36853182417263,-38.58128032949316
111,-69.36839169535223,-38.58178484499037
112,-69.36782487338141,-38.58257074566411
113,-69.36725746745611,-38.58324462644403
114,-69.36710861438404,-38.58342798194684
115,-69.36633526958958,-38.58431167521333
116,-69.36540850443509,-38.58448259787031
117,-69.36419829055701,-38.58504645439802
118,-69.36341365669972,-38.58510490093644
119,-69.36213065452385,-38.58538891938523
120,-69.36148957078599,-38.58561493439938
121,-69.36049449918204,-38.58640212024376
122,-69.35942693182591,-38.58696548702414
123,-69.35700630749795,-38.58809306247625
124,-69.35494158323797,-38.58905148255561
125,-69.35536698066373,-38.58849010926323
126,-69.35564965550722,-38.58792916726138
127,-69.35571825254115,-38.58736887627087
128,-69.35585820426377,-38.58680836645693
129,-69.35614031551145,-38.58613540866975
130,-69.356280263925,-38.58557489825314
131,-69.35641771634923,-38.58451032188015
132,-69.35570802916725,-38.58529659784468
133,-69.35521156958859,-38.58591419777554
134,-69.35457183630858,-38.58642021261042
135,-69.35457459056381,-38.58698028779737
136,-69.35436519781994,-38.58793306330995
137,-69.35422495488788,-38.58843756271879
138,-69.35379817347503,-38.58871889529718
139,-69.35358656809426,-38.58922360958437
140,-69.35326901384758,-38.58995267641525
141,-69.35248842367481,-38.59085116416933
142,-69.35206545054085,-38.59191659414418
143,-69.35156782189526,-38.59231014764061
144,-69.35106964229011,-38.59259168369451
145,-69.35035818666171,-38.59304188261995
146,-69.35014572624493,-38.59337856931471
147,-69.35000490069275,-38.59377104716692
148,-69.35086018745166,-38.59354445321944
149,-69.35029144806717,-38.59399422374389
150,-69.34958187398466,-38.59483646878878
151,-69.34889518843394,-38.59565152159765
152,-69.34844787164555,-38.59646409130914
153,-69.34859358771241,-38.59707974665866
154,-69.34816889540184,-38.59780911879901
155,-69.34745872032204,-38.59853933635986
156,-69.34710349023419,-38.59887644105991
157,-69.34660497850342,-38.59910195136133
